quote_id,healthcare_index,sent_mean,healthcare_index_mean
1,"61.4, 71, 72.5, 79.3, 71.7, 57.6",0.1648,68.91666666666667
2,68.6,0.113228,68.6
3,"65.0763157894737, 71.1",0.103747,68.08815789473684
4,68,0.288284,68
5,73.2,0.20085,73.2
6,65,0.159717,65
7,60.8,0.005872,60.8
8,68.6,0.113228,68.6
9,"57.6, 71.1, 51.9",0.0503947368421052,60.199999999999996
10,64.12,0.155578,64.12
11,56.25,0.104983,56.25
12,79.7,0.106269,79.7
13,"65.3, 72, 74.9, 76",0.0521410714285714,72.05
14,79.7,0.106269,79.7
15,65.0763157894737,0.01022,65.0763157894737
16,68,0.288284,68
17,72.84,0.036889,72.84
18,57.2,-0.11634,57.2
19,"63.3, 56.3, 68.4",-0.058504,62.666666666666664
20,"65, 66.3, 77.2, 75.6, 57.7, 62.4, 75.9, 74.9, 77.5",0.0874051948051948,70.27777777777777
21,23.86,0.233491,23.86
22,"77.2, 70.2, 83",0.339193,76.8
23,73.1,0.026101,73.1
24,79.7,0.106269,79.7
25,79.7,0.106269,79.7
26,"86.4, 66.53",-0.137993,76.465
27,72,-0.032063,72
28,73.2,0.20085,73.2
29,79.7,0.106269,79.7
30,"57.6, 77.7",0.069876,67.65
31,70.2,0.148847,70.2
32,68,0.288284,68
33,60.8,0.005872,60.8
34,"70.4, 73.2, 77.2",0.206547435897436,73.60000000000001
35,79.7,0.106269,79.7
36,"65.3, 65, 70.2",0.243857142857143,66.83333333333333
37,"61.11, 40.51",0.0994430379746835,50.81
38,"60.8, 71.9",0.203699,66.35
39,68.3,-0.108925,68.3
40,65.0763157894737,0.01022,65.0763157894737
41,65.3,0.055561,65.3
42,"68, 48.45",0.00458399999999999,58.225
43,"71.9, 70.2",0.095193,71.05000000000001
44,65.0763157894737,0.01022,65.0763157894737
45,"60.8, 56.4",0.0959890410958904,58.599999999999994
46,61.4,0.11136,61.4
47,"68.2, 60.1, 63.8, 68.3, 61.21, 37.01, 67.3, 47.37, 72.4, 68.4",0.180766666666667,61.409
48,"77.2, 59.1",-0.043313,68.15
49,"73.1, 68.6",0.068949,70.85
50,73.1,0.026101,73.1
51,65.0763157894737,0.01022,65.0763157894737
52,63.8,0.08694,63.8
53,40.51,0.211499,40.51
54,60.8,0.005872,60.8
55,73.1,0.026101,73.1
56,73.2,0.20085,73.2
57,"73.1, 79.17",0.26215,76.13499999999999
58,40.51,0.211499,40.51
59,65.0763157894737,0.01022,65.0763157894737
60,60.8,0.005872,60.8
61,73.1,0.026101,73.1
62,48.45,0.038279,48.45
63,60.8,0.005872,60.8
64,66.0842105263158,0.240416,66.0842105263158
65,61.4,0.11136,61.4
66,"77.8, 73.2, 79.3",0.115423076923077,76.76666666666667
67,"73.1, 68.6",0.068949,70.85
68,61.5,-0.043051,61.5
69,71.1,0.160342,71.1
70,60.8,0.005872,60.8
71,79.7,0.106269,79.7
72,73.1,0.026101,73.1
73,73.2,0.20085,73.2
74,"77.8, 73.2",0.123612,75.5
75,79.7,0.106269,79.7
76,68.6,0.113228,68.6
77,73.1,0.026101,73.1
78,60.8,0.005872,60.8
79,60.8,0.005872,60.8
80,79.7,0.106269,79.7
